id,idade,renda,cidade,categoria,nota,feedback,cidade_Belo Horizonte,cidade_Rio de Janeiro,cidade_São Paulo,cidade_Vitória,cidade_nan,categoria_A,categoria_B,categoria_nan,feedback_Bom,feedback_Regular,feedback_Ruim,feedback_nan,idade_scaler,renda_scaler,nota_scaler
14,69.0,12305.15,São Paulo,A,0.9,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6186317766138996,1.5402691267245074,-1.4056348496167888
15,52.0,3154.52,Belo Horizonte,A,9.4,Bom,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5408227128853629,-1.1923001318042326,1.5468038098399746
16,23.0,8250.98,São Paulo,B,6.7,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.2977927487691996,0.3296092802604429,0.6089703533066496
17,50.0,6159.88,Vitória,B,9.6,Bom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4140216465643586,-0.2948368591320849,1.6162729547683687
18,18.0,4187.2,São Paulo,B,4.965228426395939,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.6147954145717103,-0.8839203129395796,0.006404863984852642
19,45.0,10673.74,São Paulo,B,9.6,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09701898076184783,1.053096023445676,1.6162729547683687
20,30.0,9355.2,Belo Horizonte,A,3.7,Bom,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8539890166456845,0.6593524374695758,-0.43306682061926677
21,29.0,8659.57,Rio de Janeiro,B,2.1,Regular,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9173895498061867,0.45162278898522557,-0.9888199800464222
22,31.0,2320.12,São Paulo,B,2.7,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7905884834851823,-1.4414694009492401,-0.7804125452612389
23,54.0,9998.74,Vitória,B,4.0,Bom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6676237792063672,0.8515269238856568,-0.32886310322667517
24,46.0,12103.29,Rio de Janeiro,B,5.5,Bom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16041951392235,1.4799895142249737,0.19215548373628302
25,48.0,3144.84,São Paulo,B,6.0,Ruim,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2872205802433543,-1.1951907820023673,0.3658283460572691
26,35.0,10028.73,São Paulo,A,8.4,Regular,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5369863508431737,0.8604825643238864,1.1994580851980023
27,32.0,7242.86,Rio de Janeiro,B,0.8,Bom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.7271879503246802,0.028563590410892306,-1.4403694220809862
28,43.57013118062563,12342.48,Rio de Janeiro,A,1.0,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0063645352639350086,1.551416644482397,-1.3709002771525916
29,37.0,8673.99,Belo Horizonte,A,9.7,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4101852845221694,0.4559289021936041,1.6510075272325657
30,47.0,7081.03,Belo Horizonte,B,7.4,Bom,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.22382004708285214,-0.019762227932512005,0.8521123605560302
31,19.0,11764.25,Belo Horizonte,A,8.2,Bom,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.5513948814112082,1.3787450882770786,1.1299889402696075
32,37.0,11001.45,São Paulo,B,5.3,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.4101852845221694,1.1509570747298452,0.12268633880788855
33,26.0,6794.65,Belo Horizonte,A,8.0,Bom,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.107591149287693,-0.1052812779058429,1.0605197953412133
34,43.57013118062563,10570.24,Rio de Janeiro,A,5.0,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0063645352639350086,1.0221887615131398,0.018482621415296968
35,31.0,8919.22,Vitória,B,5.6,Regular,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7905884834851823,0.5291597026159796,0.22689005620048014
36,66.0,8501.36,Rio de Janeiro,B,9.0,Ruim,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.428430177132393,0.4043779782572397,1.4078655199831855
37,49.0,7046.51,Rio de Janeiro,B,7.1,Ruim,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.35062111340385643,-0.030070620994455368,0.7479086431634383
38,70.0,10889.03,Vitória,B,4.965228426395939,Regular,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6820323097744017,1.1173861144742343,0.006404863984852642
39,57.0,9145.72,Rio de Janeiro,B,9.7,Regular,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8578253786878737,0.596797333801675,1.6510075272325657
40,41.0,12731.77,Rio de Janeiro,A,9.1,Ruim,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1565831518801608,1.6676667700642045,1.4426000924473825
41,26.0,10320.39,São Paulo,A,0.3,Regular,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.107591149287693,0.9475783325871089,-1.6140422844019722
42,47.0,1892.68,São Paulo,,7.6,Regular,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22382004708285214,-1.5691119134172913,0.9215815054844244
43,43.57013118062563,5413.01,Rio de Janeiro,A,8.9,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0063645352639350086,-0.5178678419297021,1.3731309475189883
44,62.0,6101.02,Belo Horizonte,A,8.7,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1748280444903845,-0.3124136846137185,1.3036618025905937
45,20.0,10066.84,Rio de Janeiro,B,6.2,Ruim,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.487994348250706,0.8718630063746011,0.4352974909856636
46,59.0,7293.22,São Paulo,B,7.2,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.984626445008878,0.04360213834251111,0.7826432156276357
47,89.0,15714.61,Belo Horizonte,A,11.8,Ruim,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8866424398239428,2.5584051003332533,2.3804335489807076
48,43.0,11115.9,São Paulo,A,6.1,Regular,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.02978208555915649,1.185134235388577,0.4005629185214662
49,36.0,2706.53,São Paulo,B,5.9,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.47358581768267155,-1.3260793035255554,0.331093773593072
50,25.0,12521.64,Rio de Janeiro,A,1.9,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1709916824481952,1.6049175628189496,-1.0582891249748168
51,64.0,9098.24,Belo Horizonte,B,0.3,Bom,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3016291108113887,0.5826188140281792,-1.6140422844019722
52,68.0,11106.82,Vitória,A,7.1,Bom,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5552312434533975,1.1824227577233846,0.7479086431634383
53,44.0,6876.14,São Paulo,A,3.3,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03361844760134567,-0.08094666172340421,-0.5720051104760557
54,69.0,4039.19,Rio de Janeiro,B,8.3,Regular,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6186317766138996,-0.9281191906075477,1.1647235127338054
55,24.0,6580.08,Belo Horizonte,A,6.1,Ruim,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2343922156086975,-0.16935636189487,0.4005629185214662
56,48.0,11905.01,São Paulo,B,5.3,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2872205802433543,1.4207789645053281,0.12268633880788855
57,44.0,11278.49,Rio de Janeiro,B,4.965228426395939,Ruim,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.03361844760134567,1.2336870056070415,0.006404863984852642
59,19.0,4155.49,Vitória,A,3.2,Regular,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5513948814112082,-0.893389581305577,-0.6067396829402528
60,27.0,4374.83,São Paulo,A,2.7,Bom,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.044190616127191,-0.827890075679659,-0.7804125452612389
61,28.0,9670.03,São Paulo,A,7.1,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9807900829666888,0.7533672517132513,0.7479086431634383
62,60.0,1520.36,Vitória,B,5.5,Ruim,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.04802697816938,-1.6802944425257158,0.19215548373628302
63,70.0,8514.24,São Paulo,A,9.6,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6820323097744017,0.40822421529773284,1.6162729547683687
64,22.0,12356.95,Belo Horizonte,B,8.7,Bom,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.3611932819297017,1.5557376887351877,1.3036618025905937
65,49.0,8569.03,Vitória,A,8.4,Regular,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35062111340385643,0.42458565376424195,1.1994580851980023
66,11.0,16488.74,Belo Horizonte,A,-1.1,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0585991466952254,2.7895764885442134,-2.100326298900733
67,46.0,4589.75,Rio de Janeiro,A,4.965228426395939,Ruim,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16041951392235,-0.7637104743797488,0.006404863984852642
68,38.0,2405.17,Rio de Janeiro,B,5.7,Bom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.34678475136166725,-1.4160716944046776,0.2616246286646775
69,70.0,9896.86,Rio de Janeiro,B,3.7,Bom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6820323097744017,0.8211034277920648,-0.43306682061926677
70,25.0,11012.51,Rio de Janeiro,A,6.1,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.1709916824481952,1.154259821753747,0.4005629185214662
71,21.0,11381.55,Vitória,A,8.4,Bom,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.424593815090204,1.2644628743487534,1.1994580851980023
72,28.0,5799.14,Rio de Janeiro,A,6.6,Bom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9807900829666888,-0.4025613583547239,0.5742357808424523
73,68.0,3077.76,São Paulo,A,4.8,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5552312434533975,-1.2152222711853096,-0.05098652351309752
74,43.0,12321.25,Vitória,B,9.3,Ruim,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.02978208555915649,1.5450769230251242,1.5120692373757774
75,60.0,10849.85,São Paulo,B,7.6,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.04802697816938,1.105686148073106,0.9215815054844244
76,20.0,12827.2,São Paulo,A,1.0,Bom,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.487994348250706,1.6961641614286678,-1.3709002771525916
77,66.0,7788.1,São Paulo,B,2.9,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.428430177132393,0.1913836435132702,-0.7109434003328445
78,41.0,9693.43,Belo Horizonte,A,9.5,Bom,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1565831518801608,0.7603549804979984,1.5815383823041715
79,48.0,5590.19,São Paulo,B,4.965228426395939,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2872205802433543,-0.464958192951859,0.006404863984852642
80,47.0,10196.91,São Paulo,A,1.0,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22382004708285214,0.9107046253075961,-1.3709002771525916
81,48.0,4457.82,São Paulo,B,1.1,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2872205802433543,-0.803107528164865,-1.3361657046883944
82,44.0,12289.47,Belo Horizonte,A,5.2,Ruim,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03361844760134567,1.53558675119695,0.08795176634369145
83,39.0,11505.0,São Paulo,B,8.2,Ruim,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2833842182011651,1.3013276230016193,1.1299889402696075
84,22.0,5168.12,Vitória,A,5.0,Ruim,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3611932819297017,-0.5909971112500773,0.018482621415296968
85,61.0,12663.22,Belo Horizonte,A,5.3,Ruim,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1114275113298824,1.6471963081755534,0.12268633880788855
86,32.0,9247.42,Vitória,A,9.0,Bom,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.7271879503246802,0.6271670781353847,1.4078655199831855
87,59.0,12315.41,Belo Horizonte,B,7.7,Bom,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.984626445008878,1.5433329770378197,0.9563160779486218
88,38.0,10989.48,São Paulo,A,9.4,Bom,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.34678475136166725,1.1473825826976471,1.5468038098399746
89,36.0,5767.93,Vitória,A,4.5,Ruim,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.47358581768267155,-0.41188131627660274,-0.15519024090568911
90,62.0,6825.36,Belo Horizonte,B,9.3,Bom,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.1748280444903845,-0.0961106304280826,1.5120692373757774
91,41.0,5353.86,Belo Horizonte,A,8.6,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1565831518801608,-0.5355312674689247,1.2689272301263965
92,53.0,3538.21,Belo Horizonte,A,1.2,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6042232460458651,-1.0777222831965527,-1.3014311322241972
93,57.0,11932.92,São Paulo,B,0.7,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8578253786878737,1.4291134734960245,-1.4751039945451832
94,55.0,10598.61,São Paulo,B,9.3,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7310243123668694,1.0306606361124255,1.5120692373757774
95,65.0,6419.9,São Paulo,A,4.5,Regular,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.365029643971891,-0.21718945577268325,-0.15519024090568911
96,65.0,1431.94,São Paulo,A,5.3,Regular,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.365029643971891,-1.7066985014636369,0.12268633880788855
97,43.0,12560.12,Vitória,A,9.8,Regular,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.02978208555915649,1.6164084945983124,1.6857420996967636
98,35.0,8802.3,Rio de Janeiro,A,0.2,Ruim,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5369863508431737,0.49424494836330185,-1.6487768568661691
99,66.0,12789.98,Rio de Janeiro,A,7.7,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.428430177132393,1.6850494919684837,0.9563160779486218
100,48.0,5262.15,São Paulo,B,5.2,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2872205802433543,-0.562917789129146,0.08795176634369145
101,33.0,10298.98,Vitória,B,9.5,Bom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.663787417164178,0.9411848593699533,1.5815383823041715
102,22.0,9509.77,Vitória,A,0.7,Ruim,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3611932819297017,0.705510268164379,-1.4751039945451832
103,59.0,11174.61,Vitória,B,9.5,Bom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.984626445008878,1.2026662677369755,1.5815383823041715
104,45.0,2874.51,Vitória,B,3.1,Bom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09701898076184783,-1.2759169667194932,-0.64147425540445
105,25.0,6135.69,Rio de Janeiro,A,2.7,Bom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1709916824481952,-0.30206049841853966,-0.7804125452612389
106,49.0,9250.32,Rio de Janeiro,B,4.5,Regular,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.35062111340385643,0.6280330787112721,-0.15519024090568911
107,34.0,5955.09,Belo Horizonte,B,7.0,Regular,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6003868840036759,-0.3559914308341536,0.7131740706992412
108,41.0,7016.87,Belo Horizonte,A,8.2,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1565831518801608,-0.03892174412180209,1.1299889402696075
109,61.0,9675.33,Vitória,A,4.3,Regular,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1114275113298824,0.7549499424209074,-0.2246593858340836
110,65.0,7167.47,Belo Horizonte,B,2.4,Ruim,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.365029643971891,0.006050561646700103,-0.8846162626538306
111,67.0,7649.51,Rio de Janeiro,B,0.2,Bom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.4918307102928952,0.14999777461249522,-1.6487768568661691
112,40.0,12822.4,Vitória,B,5.8,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.21998368504066296,1.6947307811651295,0.2963592011288746
113,19.0,10473.03,Vitória,B,3.6,Regular,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.5513948814112082,0.9931598249676149,-0.467801393083464
114,48.0,11870.68,Vitória,A,7.8,Bom,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2872205802433543,1.4105273094121495,0.9910506504128189
115,21.0,12681.44,Belo Horizonte,A,4.4,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.424593815090204,1.652637180759233,-0.1899248133698862
116,27.0,4361.23,São Paulo,A,0.9,Bom,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.044190616127191,-0.8319513197596832,-1.4056348496167888
117,70.0,6204.42,Vitória,B,8.9,Ruim,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6820323097744017,-0.28153628477000603,1.3731309475189883
118,66.0,10600.62,São Paulo,A,2.0,Bom,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.428430177132393,1.0312608640977823,-1.0235545525106196
119,27.0,5072.59,Vitória,B,0.3,Ruim,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.044190616127191,-0.619524364703364,-1.6140422844019722
120,70.0,11650.34,São Paulo,B,0.5,Bom,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6820323097744017,1.3447291828979946,-1.5445731394735778
121,50.0,11999.91,Rio de Janeiro,B,7.9,Bom,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4140216465643586,1.4491180867990254,1.0257852228770163
122,69.0,8291.58,Rio de Janeiro,A,2.8,Regular,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6186317766138996,0.34173328832286787,-0.7456779727970418
123,48.0,5892.95,Belo Horizonte,A,1.9,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2872205802433543,-0.37454773282920495,-1.0582891249748168
124,25.0,10067.97,Rio de Janeiro,A,7.4,Bom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.1709916824481952,0.8722004479783088,0.8521123605560302
125,48.0,9472.09,São Paulo,A,1.2,Regular,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2872205802433543,0.6942582330956063,-1.3014311322241972
126,46.0,7752.69,Vitória,A,1.7,Bom,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16041951392235,0.18080947786079546,-1.127758269903211
127,67.0,6362.48,São Paulo,B,2.3,Ruim,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4918307102928952,-0.23433626717525557,-0.9193508351180278
128,18.0,5898.69,Vitória,B,9.2,Regular,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.6147954145717103,-0.37283364893072424,1.4773346649115797
129,18.0,5822.13,Belo Horizonte,A,7.3,Ruim,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6147954145717103,-0.3956960641341538,0.8173777880918328
130,20.0,8491.93,São Paulo,B,0.9,Regular,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.487994348250706,0.4015619832811641,-1.4056348496167888
131,51.0,8142.97,Rio de Janeiro,B,3.4,Regular,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.47742217972486073,0.29735523812195763,-0.5372705380118585
